a	một,
ability	có khả năng,
able	có thể,
abortion	sự phá thai,
about	trong khoảng,
above	ở trên,
abroad	ở nước ngoài,
absolute	tuyệt đối,
absolutely	chắc chắn rồi,
absorb	hấp thụ,
abstract	trừu tượng,
abuse	lạm dụng,
academic	học tập,
accelerate	đẩy nhanh,
accent	giọng điệu,
accept	Chấp nhận,
acceptable	chấp nhận được,
acceptance	chấp thuận,
access	truy cập,
accessible	có thể truy cập,
accident	Tai nạn,
accommodate	chứa,
accomplishment	hoàn thành,
according	theo,
account	tài khoản,
accountability	trách nhiệm giải trình,
accounting	kế toán,
accuracy	tính chính xác,
accurately	chính xác,
accusation	tố cáo,
achieve	Hoàn thành,
acid	axit,
acknowledge	công nhận,
acquisition	mua lại,
across	băng qua,
act	hành động,
action	hoạt động,
active	đang hoạt động,
actively	tích cực,
activity	Hoạt động,
actor	diễn viên,
actress	nữ diễn viên,
actual	thực tế,
actually	thực ra,
ad	quảng cáo,
add	thêm vào,
added	thêm,
addition	thêm vào,
additional	bổ sung,
address	địa chỉ nhà,
adequate	đầy đủ,
adjustment	điều chỉnh,
administer	quản lý,
administration	quản trị,
administrative	hành chính,
admire	ngưỡng mộ,
admission	nhận vào,
admit	thừa nhận,
adolescent	thanh niên,
adopt	thông qua,
adoption	nhận con nuôi,
adult	người lớn,
advantage	lợi thế,
advice	khuyên bảo,
advocate	biện hộ,
aesthetic	thẩm mỹ,
affair	chuyện,
affect	có ảnh hưởng đến,
afford	đủ khả năng,
afraid	sợ,
African	Châu Phi,
AfricanAmerican	Người Mỹ gốc Phi,
after	sau,
afternoon	buổi chiều,
afterward	sau đó,
again	lần nữa,
against	chống lại,
age	tuổi tác,
agency	đại lý,
agent	đặc vụ,
aggression	Hiếu chiến,
ago	trước,
agree	đồng ý,
agreement	thỏa thuận,
agricultural	nông nghiệp,
agriculture	nông nghiệp,
ah	ah,
ahead	phía trước,
aid	viện trợ,
aide	trợ lý,
aim	mục đích,
air	không khí,
airplane	Máy bay,
airport	sân bay,
aisle	lối đi,
alarm	báo thức,
alien	người ngoài hành tinh,
alike	như nhau,
alive	sống sót,
all	tất cả các,
allegation	cáo buộc,
alleged	cáo buộc,
allegedly	bị cáo buộc,
alley	hẻm,
alliance	liên minh,
allow	cho phép,
almost	hầu hết,
alone	một mình,
along	dọc theo,
alongside	bên cạnh,
already	đã,
also	cũng thế,
although	mặc dù,
altogether	hoàn toàn,
aluminum	nhôm,
always	luôn luôn,
AM	LÀ,
ambassador	đại sứ,
ambition	tham vọng,
ambitious	đầy tham vọng,
amendment	sửa đổi,
American	Người Mỹ,
amid	giữa,
among	trong số,
amount	số lượng,
analysis	phân tích,
analyst	nhà phân tích,
ancestor	tổ tiên,
ancient	xưa,
and	và,
angel	Thiên thần,
angle	góc,
angry	bực bội,
animal	thú vật,
ankle	mắt cá,
anniversary	ngày kỷ niệm,
announce	tuyên bố,
announcement	thông báo,
annual	hàng năm,
annually	hàng năm,
anonymous	vô danh,
another	khác,
answer	câu trả lời,
anticipate	đoán trước,
anxious	lo lắng,
any	bất kì,
anybody	bất kỳ ai,
anymore	nữa không,
anyone	bất kỳ ai,
anything	bất cứ điều gì,
anyway	dù sao,
anywhere	ở đâu,
apart	xa nhau,
apartment	căn hộ,
apologize	xin lỗi,
apology	xin lỗi,
apparently	dường như,
appeal	kháng cáo,
appear	xuất hiện,
appearance	xuất hiện,
application	ứng dụng,
apply	ứng dụng,
appoint	bổ nhiệm,
appointment	cuộc hẹn,
appreciate	đánh giá,
appreciation	sự đánh giá,
