counselor	cố vấn
witness	nhân chứng
chapter	chương
fellow	đồng bào
divorce	ly hôn
owe	nợ
pipe	ống
athletic	Khỏe mạnh
slight	nhẹ
math	môn Toán
shade	bóng râm
tail	đuôi
sustain	duy trì
mount	gắn kết
obligation	nghĩa vụ
angle	góc
palm	lòng bàn tay
differ	khác nhau
custom	tập quán
store	cửa hàng
economist	nhà kinh tế học
fifteen	mười lăm
soup	Súp
celebration	lễ kỷ niệm
efficient	hiệu quả
damage	hư hại
composition	thành phần
satisfy	làm vui lòng
briefly	ngắn gọn
carbon	carbon
closer	gần hơn
consume	tiêu dùng
scheme	kế hoạch
crack	bẻ khóa
frequency	tần số
tobacco	thuốc lá
survivor	người sống sót
besides	ngoài ra
in	trong
psychologist	nhà tâm lý học
wealthy	giàu có
galaxy	Thiên hà
given	được
fund	quỹ
ski	trượt tuyết
limitation	giới hạn
OK	được
trace	dấu vết
appointment	cuộc hẹn
preference	sở thích
meter	mét
explosion	nổ
arrest	bắt giữ
publicly	công khai
incredible	đáng kinh ngạc
fighter	đấu sĩ
rapid	nhanh
admission	nhận vào
hunter	thợ săn
educate	giáo dục
painful	đau đớn
friendship	hữu nghị
aide	trợ lý
infant	trẻ sơ sinh
calculate	tính toán
fifty	năm mươi
rid	thoát khỏi
porch	hiên nhà
tendency	khuynh hướng
uniform	đồng phục
formation	sự hình thành
scholarship	học bổng
reservation	đặt phòng
efficiency	hiệu quả
waste	chất thải
qualify	đủ tiêu chuẩn
mall	trung tâm mua sắm
derive	lấy được
scandal	vụ bê bối
PC	PC
helpful	Hữu ích
impress	gây ấn tượng
heel	gót chân
resemble	giống
privacy	riêng tư
fabric	vải
surprise	sự ngạc nhiên
contest	Cuộc thi
proportion	tỉ lệ
guideline	hướng dẫn
rifle	súng trường
maintenance	bảo trì
conviction	lòng tin chắc
trick	lừa
organic	hữu cơ
tent	lều
examination	kiểm tra
publisher	nhà xuất bản
strengthen	củng cố
French	người Pháp
proposed	đề xuất
myth	huyền thoại
sophisticated	tinh vi
cow	bò
etc	vv
standing	đứng
asleep	ngủ
tennis	quần vợt
nerve	dây thần kinh
barrel	thùng
bombing	ném bom
membership	thành viên
ratio	tỉ lệ
menu	thực đơn
purchase	mua
controversial	gây tranh cãi
desperate	tuyệt vọng
rate	tỷ lệ
lifestyle	lối sống
humor	hài hước
loud	to tiếng
glove	găng tay
suspect	nghi ngờ
sufficient	đủ
narrative	tường thuật
photographer	nhiếp ảnh gia
helicopter	máy bay trực thăng
Catholic	Công giáo
modest	khiêm tốn
provider	các nhà cung cấp
agricultural	nông nghiệp
explode	nổ tung
stroke	Cú đánh
scope	phạm vi
punishment	hình phạt
handful	ít
badly	tệ
horizon	đường chân trời
curious	Hiếu kỳ
girlfriend	bạn gái
prompt	nhắc nhở
request	yêu cầu
cholesterol	cholesterol
absorb	hấp thụ
adjustment	điều chỉnh
taxpayer	người nộp thuế
eager	hăng hái
principal	hiệu trưởng
detailed	chi tiết
motivation	động lực
assignment	nhiệm vụ
restriction	sự hạn chế
across	băng qua
Palestinian	Palestine
laboratory	phòng thí nghiệm
workshop	xưởng
differently	khác
auto	Tự động
romantic	lãng mạn
cotton	bông
motor	động cơ
sue	kiện
flavor	hương vị
overlook	bỏ qua
float	phao
undergo	trải qua
sequence	trình tự
demonstration	trình diễn
jet	máy bay phản lực
consumption	tiêu dùng
assert	khẳng định
blade	lưỡi
temporary	tạm thời
medication	thuốc men
print	in
cabin	cabin
bite	cắn
relative	quan hệ
edition	phiên bản
valley	thung lũng
yours	của bạn
pitch	sân cỏ
pine	cây thông
brilliant	rực rỡ
versus	đấu với
manufacturing	chế tạo
risk	rủi ro
Christian	Christian
complex	phức tạp
absolute	tuyệt đối
chef	đầu bếp
discrimination	kỳ thị
offensive	phản cảm
German	tiếng Đức
suit	bộ đồ
boom	sự bùng nổ
register	ghi danh
appoint	bổ nhiệm
heritage	gia tài
God	thần
terrorist	khủng bố
dominant	có ưu thế
successfully	thành công
shit	dơ bẩn
lemon	Chanh
hungry	đói bụng
sense	giác quan
dry	khô
wander	đi lang thang
submit	đệ trình
economics	Kinh tế học
