ác mộng	nightmare,
ác quỷ	devil,
ah	ah,
ai	whom,
ấm áp	warmth,
âm lượng	volume,
âm mưu	conspiracy,
Âm nhạc	music,
âm thanh	sound,
ẩn	hidden,
ẩn giấu	hide,
Anh	English,
anh chị em ruột	sibling,
ảnh chụp	photograph,
anh hùng	hero,
ảnh hưởng	influence,
ánh sáng	light,
ánh sáng mặt trời	sunlight,
anh ta	him,
ân sủng	grace,
an toàn	safely,
ấn tượng	impressive,
ăn xin	beg,
ảo	virtual,
ảo giác	illusion,
áo len	sweater,
áo sơ mi	shirt,
Áo thun	Tshirt,
áp đảo	overwhelming,
áp phích	poster,
Arab	Arab,
axit	acid,
Bà	Mrs,
Bắc	north,
Bác sĩ	doctor,
bác sĩ phẫu thuật	surgeon,
bậc thang	step,
bậc thầy	master,
bài báo	article,
bài báo cáo	report,
bài đăng	post,
bài hát	song,
bài học	lecture,
bài tập	task,
bài tập về nhà	homework,
bám lấy	cling,
bận	busy,
bản án	verdict,
Bạn bè	buddy,
ban bồi thẩm	jury,
Bản chất	essence,
ban cho	grant,
ban đầu	initial,
bán đấu giá	auction,
bản địa	indigenous,
bản đồ	map,
băng	tape,
bạn gái	girlfriend,
bằng cách ấy	thereby,
bằng cách nào đó	somehow,
bảng câu hỏi	questionnaire,
bảng điều khiển	panel,
bằng lòng	consent,
băng qua	across,
bằng sáng chế	patent,
bằng văn bản	written,
bán hàng	sales,
ban hành	enact,
bánh quy	cookie,
bán lẻ	retail,
bàn luận	discuss,
bản năng	instinct,
ban nhạc	band,
bản nháp	draft,
ban phước	bless,
bản thân anh ấy	himself,
bản thân bạn	yourself,
bản thân họ	themselves,
bẩn thỉu	nasty,
bạn trai	boyfriend,
bản văn	text,
bão	hurricane,
báo cáo	reportedly,
báo chí	journalism,
bao gồm	comprise,
Bảo hành	guarantee,
bảo hiểm	insurance,
bạo loạn	riot,
bạo lực	violence,
bão táp	storm,
báo thức	alarm,
bảo tồn	conservation,
bảo trì	maintenance,
bảo vệ	protective,
bát	bowl,
bất bình	spite,
bắt buộc	compel,
bất cứ ai	whoever,
bất cứ điều gì	whatever,
bắt đầu	starter,
bất động sản	estate,
bắt giữ	arrest,
bất kì	any,
bất kỳ ai	anybody,
bắt lấy	catch,
bất ngờ	unexpected,
bất tận	endless,
bầu cử	voting,
bầu trời	sky,
bay	flying,
bay lên	soar,
bày tỏ	express,
bẻ khóa	crack,
bề mặt	surface,
bên	side,
bên cạnh	alongside,
bệnh dịch	epidemic,
