cố vấn	counselor
nhân chứng	witness
chương	chapter
đồng bào	fellow
ly hôn	divorce
nợ	owe
ống	pipe
Khỏe mạnh	athletic
nhẹ	slight
môn Toán	math
bóng râm	shade
đuôi	tail
duy trì	sustain
gắn kết	mount
nghĩa vụ	obligation
góc	angle
lòng bàn tay	palm
khác nhau	differ
tập quán	custom
cửa hàng	store
nhà kinh tế học	economist
mười lăm	fifteen
Súp	soup
lễ kỷ niệm	celebration
hiệu quả	efficient
hư hại	damage
thành phần	composition
làm vui lòng	satisfy
ngắn gọn	briefly
carbon	carbon
gần hơn	closer
tiêu dùng	consume
kế hoạch	scheme
bẻ khóa	crack
tần số	frequency
thuốc lá	tobacco
người sống sót	survivor
ngoài ra	besides
trong	in
nhà tâm lý học	psychologist
giàu có	wealthy
Thiên hà	galaxy
được	given
quỹ	fund
trượt tuyết	ski
giới hạn	limitation
được	OK
dấu vết	trace
cuộc hẹn	appointment
sở thích	preference
mét	meter
nổ	explosion
bắt giữ	arrest
công khai	publicly
đáng kinh ngạc	incredible
đấu sĩ	fighter
nhanh	rapid
nhận vào	admission
thợ săn	hunter
giáo dục	educate
đau đớn	painful
hữu nghị	friendship
trợ lý	aide
trẻ sơ sinh	infant
tính toán	calculate
năm mươi	fifty
thoát khỏi	rid
hiên nhà	porch
khuynh hướng	tendency
đồng phục	uniform
sự hình thành	formation
học bổng	scholarship
đặt phòng	reservation
hiệu quả	efficiency
chất thải	waste
đủ tiêu chuẩn	qualify
trung tâm mua sắm	mall
lấy được	derive
vụ bê bối	scandal
PC	PC
Hữu ích	helpful
gây ấn tượng	impress
gót chân	heel
giống	resemble
riêng tư	privacy
vải	fabric
sự ngạc nhiên	surprise
Cuộc thi	contest
tỉ lệ	proportion
hướng dẫn	guideline
súng trường	rifle
bảo trì	maintenance
lòng tin chắc	conviction
lừa	trick
hữu cơ	organic
lều	tent
kiểm tra	examination
nhà xuất bản	publisher
củng cố	strengthen
người Pháp	French
đề xuất	proposed
huyền thoại	myth
tinh vi	sophisticated
bò	cow
vv	etc
đứng	standing
ngủ	asleep
quần vợt	tennis
dây thần kinh	nerve
thùng	barrel
ném bom	bombing
thành viên	membership
tỉ lệ	ratio
thực đơn	menu
mua	purchase
gây tranh cãi	controversial
tuyệt vọng	desperate
tỷ lệ	rate
lối sống	lifestyle
hài hước	humor
to tiếng	loud
găng tay	glove
nghi ngờ	suspect
đủ	sufficient
tường thuật	narrative
nhiếp ảnh gia	photographer
máy bay trực thăng	helicopter
Công giáo	Catholic
khiêm tốn	modest
các nhà cung cấp	provider
nông nghiệp	agricultural
nổ tung	explode
Cú đánh	stroke
phạm vi	scope
hình phạt	punishment
ít	handful
tệ	badly
đường chân trời	horizon
Hiếu kỳ	curious
bạn gái	girlfriend
nhắc nhở	prompt
yêu cầu	request
cholesterol	cholesterol
hấp thụ	absorb
điều chỉnh	adjustment
người nộp thuế	taxpayer
hăng hái	eager
hiệu trưởng	principal
chi tiết	detailed
động lực	motivation
nhiệm vụ	assignment
sự hạn chế	restriction
băng qua	across
Palestine	Palestinian
phòng thí nghiệm	laboratory
xưởng	workshop
khác	differently
Tự động	auto
lãng mạn	romantic
bông	cotton
động cơ	motor
kiện	sue
hương vị	flavor
bỏ qua	overlook
phao	float
trải qua	undergo
trình tự	sequence
trình diễn	demonstration
máy bay phản lực	jet
tiêu dùng	consumption
khẳng định	assert
lưỡi	blade
tạm thời	temporary
thuốc men	medication
in	print
cabin	cabin
cắn	bite
quan hệ	relative
phiên bản	edition
thung lũng	valley
của bạn	yours
sân cỏ	pitch
cây thông	pine
rực rỡ	brilliant
đấu với	versus
chế tạo	manufacturing
rủi ro	risk
Christian	Christian
phức tạp	complex
tuyệt đối	absolute
đầu bếp	chef
kỳ thị	discrimination
phản cảm	offensive
tiếng Đức	German
bộ đồ	suit
sự bùng nổ	boom
ghi danh	register
bổ nhiệm	appoint
gia tài	heritage
thần	God
khủng bố	terrorist
có ưu thế	dominant
thành công	successfully
dơ bẩn	shit
Chanh	lemon
đói bụng	hungry
giác quan	sense
khô	dry
đi lang thang	wander
đệ trình	submit
Kinh tế học	economics
trần truồng	naked
đoán trước	anticipate
hạt	nut
di sản	legacy
sự mở rộng	extension
nhún vai	shrug
bay	fly
ắc quy	battery
sự đến	arrival
hợp pháp	legitimate
sự định hướng	orientation
lạm phát	inflation
đối phó	cope
ngọn lửa	flame
cụm	cluster
chủ nhà	host
phụ thuộc	dependent
vòi hoa sen	shower
thể chế	institutional
miêu tả	depict
điều hành	operating
xác thịt	flesh
gara	garage
nhà điều hành	operator
giảng viên	instructor
vay	borrow
hơn nữa	furthermore
phim hài	comedy
thế chấp	mortgage
sự trừng phạt	sanction
mười hai	twelve
hàng tuần	weekly
môi trường sống	habitat
ngũ cốc	grain
chải	brush
ý thức	consciousness
cống hiến	devote
bẻ khóa	crack
phép đo	measurement
tỉnh	province
giảm bớt	ease
tịch thu	seize
đạo đức	ethics
đề cử	nomination
sự cho phép	permission
khôn ngoan	wise
nữ diễn viên	actress
hội nghị thượng đỉnh	summit
axit	acid
tỷ lệ	odds
năng khiếu	gifted
thất vọng	frustration
Trung bình	medium
chức năng	function
thể chất	physically
ban cho	grant
phân biệt	distinguish
bờ biển	shore
nhiều lần	repeatedly
phổi	lung
chắc chắn	firm
chính xác	correct
khác biệt	distinct
nghệ thuật	artistic
đàm luận	discourse
cái rổ	basket
ah	ah
trận đánh	fighting
ấn tượng	impressive
đối thủ	competitor
xấu xí	ugly
lo lắng	worried
miêu tả	portray
bột	powder
ma	ghost
truy vấn	persuade
vừa phải	moderate
sau đó	subsequent
tiếp tục	continued
bánh quy	cookie
vận chuyển	carrier
nấu nướng	cooking
Thường xuyên	frequent
lệnh cấm	ban
lung lay	swing
trái cam	orange
kinh khủng	awful
ngưỡng mộ	admire
vật nuôi	pet
phép màu	miracle
quá	exceed
nhịp	rhythm
phổ biến rộng rãi	widespread
giết chết	killing
đáng yêu	lovely
tội	sin
từ thiện	charity
kịch bản	script
chiến thuật	tactic
nhận biết	identification
chuyển đổi	transformation
mỗi ngày	everyday
tiêu đề	headline
tai nạn	crash
liên doanh	venture
cuộc xâm lăng	invasion
quân đội	military
dù sao	nonetheless
đầy đủ	adequate
đàn piano	piano
tạp hóa	grocery
cường độ	intensity
cao	high
cái mền	blanket
lề	margin
tiền vệ	quarterback
chuột	mouse
dây thừng	rope
bê tông	concrete
đơn thuốc	prescription
Người Mỹ gốc Phi	AfricanAmerican
đuổi theo	chase
tài liệu	document
gạch	brick
tuyển dụng	recruit
